tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,directors,writers,averageRating,numVotes,actor,actress,producer
tt4021084,This Summer Feeling,Ce sentiment de l'été,2015,106,Drama,nm1492984,"nm1768265,nm1492984",6.6,745,"nm0509264,nm0040545,nm1717383,nm6036593","nm2349395,nm0729691,nm3593438,nm2737942,nm3643138,nm2662182",nm3610404
tt4022394,Keyamot Theke Keyamot,Keyamot Theke Keyamot,1993,160,"Drama,Romance",nm6756253,"nm0403826,nm6756253,nm2635725",8.1,715,"nm6649402,nm2611523,nm2184278,nm1463818,nm8024970,nm4705792,nm0411267","nm2548959,nm8174284,nm8339958","nm6756263,nm16637139"
tt4024104,The Royal Tailor,Sang-eui-won,2014,127,Drama,nm5688465,nm6757629,7.1,1361,"nm0359197,nm1714968,nm1881661,nm3011350,nm3403833,nm1572247","nm2339975,nm16770296,nm9242563,nm5709507",nm5303413
tt4025514,Suburra,Suburra,2015,130,"Action,Crime,Drama",nm1356588,"nm1145142,nm3560629,nm0677758,nm0750048",7.4,22925,"nm0269419,nm0314554,nm0024580,nm2899175,nm0268724,nm0000767,nm6733052,nm1480669","nm3842427,nm1632605","nm0157692,nm1441429,nm0820908,nm0870369"
tt4026034,Hired Gun,Hired Gun,2016,98,"Documentary,Music",nm3513495,"nm1872054,nm3513495",7.2,2350,,,"nm1872054,nm2209442,nm3513495"
tt4026642,Home Care,Domácí péce,2015,92,"Comedy,Drama",nm0394513,nm0394513,6.9,515,"nm0689990,nm3070482,nm1157126,nm0474507","nm0586261,nm0897510,nm0472173,nm6949378,nm0558073,nm4342545",nm0394513
tt4028464,The Innocents,De uskyldige,2021,117,"Drama,Fantasy,Horror",nm1258777,nm1258777,7.0,29196,"nm12248295,nm4173770,nm0463928","nm12248293,nm15466156,nm12248296,nm2717241,nm7520320,nm1576776,nm0879578",nm2250929
tt4034228,Manchester by the Sea,Manchester by the Sea,2016,137,Drama,nm0518836,nm0518836,7.8,347304,"nm0000729,nm0151419,nm2348627,nm7164242,nm0232426,nm0376610","nm0931329,nm8587165,nm1736370,nm0944886","nm4568172,nm0000354,nm0601031,nm6844518"
tt4034354,Swiss Army Man,Swiss Army Man,2016,97,"Comedy,Drama,Fantasy","nm3453283,nm3215397","nm3215397,nm3453283",6.9,139184,"nm0200452,nm0705356,nm2361928,nm0343478,nm7874447,nm7656390,nm1503403","nm0935541,nm7708571,nm0144554","nm0047419,nm1224078,nm2473652,nm1622973"
tt4034414,Whistle Blower,Je-bo-ja,2014,113,"Crime,Drama,Mystery",nm0948027,"nm4362569,nm3750901",6.8,679,"nm1310960,nm0497710,nm1881661,nm1059154,nm1141905,nm7362712,nm5357038","nm1494129,nm2489970,nm3011544",
tt4036488,Saving Banksy,Saving Banksy,2017,80,Documentary,nm2515993,"nm6769152,nm0994397",6.8,1111,"nm4634516,nm0295220,nm1916829,nm3422375,nm2392996,nm6835832,nm6835831,nm2673074","nm2513661,nm11022322","nm6769152,nm6769151,nm8614257,nm0994397"
tt4040888,Chorus,Chorus,2015,97,Drama,nm0217219,nm0217219,7.0,532,"nm0784111,nm6712927,nm0524634,nm1111807,nm0690097,nm1502050","nm0539981,nm10947612,nm10947613,nm3709404","nm5770066,nm0217219"
tt4042994,If Cats Disappeared from the World,Sekai kara neko ga kietanara,2016,103,"Drama,Fantasy",nm0619073,"nm2929057,nm0645443",6.8,3070,"nm10042707,nm1204924,nm0645760,nm3360477,nm2615398,nm2615398","nm7014801,nm5140138,nm0594497",nm1319039
tt4044364,Citizenfour,Citizenfour,2014,114,"Biography,Documentary",nm0688636,nm0688636,8.0,59629,,,"nm0094850,nm0688636,nm0934406"
tt4045476,Burning Love 2,Burning Love 2,2014,173,Comedy,\N,\N,8.1,736,,,
tt4045478,Burning Love 3: Burning Down the House,Burning Love 3: Burning Down the House,2014,181,Comedy,\N,\N,8.0,673,"nm0547800,nm0004395",nm2053085,
tt4047104,Enakkul Oruvan,Enakkul Oruvan,2015,136,Thriller,nm6780137,"nm5237694,nm16793218",7.7,1960,"nm1413459,nm1413459,nm1559782,nm3682633,nm4861046,nm6106368,nm2909348,nm5650589,nm7255526","nm4715473,nm6686507",nm5366411
tt4047112,Jeeva,Jeeva,2014,127,"Drama,Sport",nm3607398,"nm3607398,nm10529435,nm6791986",8.0,2383,"nm3684167,nm4262344,nm6780151,nm1706602,nm5157126,nm6916922,nm3163698,nm6916923","nm4248233,nm6474455","nm1951127,nm6791974,nm8640224,nm3607398"
tt4047846,Home,Home,2016,103,Drama,nm0873260,"nm0504895,nm0873260",7.1,1335,"nm7418204,nm7418205,nm7418206,nm0165982,nm5006487,nm2539556,nm0607831","nm0797948,nm1345980,nm2428946",nm0518429
tt4048050,My Golden Days,Trois souvenirs de ma jeunesse,2015,123,"Drama,Romance",nm0221611,"nm0221611,nm1701553,nm0754256",6.7,3953,"nm6781043,nm0023832,nm7275826,nm7275824","nm6781042,nm0238506,nm0305473,nm7275825,nm0495950,nm0891346",nm0146434
tt4048272,Toni Erdmann,Toni Erdmann,2016,162,"Comedy,Drama",nm0011752,nm0011752,7.3,54401,"nm0800638,nm0937000,nm2457436,nm2012595,nm1090879","nm1197689,nm2445328,nm0591389,nm0751301,nm0168272","nm0011752,nm1548905,nm1464012,nm4752699"
tt4054952,Fate/stay night [Heaven's Feel] I. presage flower,Gekijouban Fate/Stay Night: Heaven's Feel - I. Presage Flower,2017,120,"Action,Adventure,Animation",nm2951802,"nm2195555,nm5925700",7.4,4324,"nm0745310,nm0745310,nm1617276,nm2550198,nm2550198","nm2067669,nm2583829,nm2583829,nm0442933,nm0442933,nm1312566,nm1312566,nm2323443,nm2323443,nm1290090,nm0397364,nm0397364","nm3309461,nm2137662,nm2193038,nm1033257"
tt4056808,The Chinese Mayor,Datong,2015,89,"Documentary,Drama,News",nm2927697,"nm3614633,nm2927697",7.7,950,nm7901701,,nm3614633
tt4057376,I Am Dragon,On - drakon,2015,110,"Adventure,Fantasy,Romance",nm5382695,"nm7769965,nm3352921,nm1318780,nm5382695",6.8,7044,"nm6789414,nm0529402,nm7814431,nm0330952","nm5690494,nm5678135,nm5239239,nm7237364,nm7814432,nm2996994","nm2860565,nm1138331"
