tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,directors,writers,averageRating,numVotes
tt0102428,Meeting Venus,Meeting Venus,1991,119,"Comedy,Drama,Romance",nm0843640,"nm0843640,nm0386694",6.6,1482
tt0102439,The Suspended Step of the Stork,To meteoro vima tou pelargou,1991,143,"Drama,Romance",nm0000766,"nm0000766,nm0346096,nm0548316,nm0634475,nm0885407",7.5,3075
tt0102443,A Midnight Clear,A Midnight Clear,1992,108,"Drama,War",nm0330360,"nm0923607,nm0330360",7.1,10439
tt0102456,Mississippi Masala,Mississippi Masala,1991,118,"Drama,Romance",nm0619762,nm0850247,6.8,7151
tt0102459,War in the Land of Egypt,Al-moaten Masry,1991,90,Drama,nm0008906,nm0953897,7.9,554
tt0102467,Monster in a Box,Monster in a Box,1992,87,"Comedy,Drama",nm0112374,nm0336960,7.5,910
tt0102478,La mujer de Benjamín,La mujer de Benjamín,1991,90,"Comedy,Drama",nm0140196,"nm0140196,nm0651148",7.1,586
tt0102492,My Girl,My Girl,1991,102,"Comedy,Drama,Family",nm0956052,nm0253214,6.9,95584
tt0102494,My Own Private Idaho,My Own Private Idaho,1991,104,Drama,nm0001814,nm0001814,6.9,65929
tt0102510,The Naked Gun 2½: The Smell of Fear,The Naked Gun 2½: The Smell of Fear,1991,85,"Comedy,Crime",nm0001878,"nm0000720,nm0001878,nm0958387,nm0698493",6.9,137958
tt0102511,Naked Lunch,Naked Lunch,1991,115,"Drama,Mystery",nm0000343,"nm0123221,nm0000343",6.9,60110
tt0102516,The Promised Heaven,Nebesa obetovannye,1991,125,"Comedy,Drama",nm0752922,"nm0022896,nm0752922",7.2,1091
tt0102526,New Jack City,New Jack City,1991,97,"Action,Crime,Drama",nm0005522,"nm0942870,nm0177875",6.7,41563
tt0102536,Night on Earth,Night on Earth,1991,129,"Comedy,Drama",nm0000464,nm0000464,7.7,70042
tt0102571,The Elementary School,Obecná skola,1991,100,"Adventure,Comedy,Drama",nm0841232,nm0006664,7.7,3445
tt0102583,"Olivier, Olivier","Olivier, Olivier",1992,110,"Adventure,Crime,Drama",nm0002140,"nm0002140,nm0487697,nm0213535",7.5,1951
tt0102587,Only Yesterday,Omohide poro poro,1991,119,"Animation,Drama,Romance",nm0847223,"nm0645470,nm7818935,nm0847223",7.6,41290
tt0102592,One False Move,One False Move,1991,105,"Crime,Drama,Thriller",nm0002083,"nm0000671,nm0258370",7.1,15945
tt0102619,The Ox,Oxen,1991,92,Drama,nm0005815,"nm16586602,nm0005815,nm0838579",7.1,1136
tt0102629,"Attention, Papa Arrives!",Pappa ante Portas,1991,89,"Comedy,Family","nm0902086,nm0923058",nm0902086,7.9,6212
tt0102631,Paradise,Paradise,1991,111,Drama,nm0232858,"nm0232858,nm0399464",6.7,3378
tt0102674,The Pistol: The Birth of a Legend,The Pistol: The Birth of a Legend,1991,90,"Biography,Drama,Sport",nm0775652,"nm0132362,nm0544951",6.8,1535
tt0102685,Point Break,Point Break,1991,122,"Action,Crime,Thriller",nm0000941,"nm0004488,nm0407717",7.3,220154
